rank,route_short_name,route_id,board_2026_08
1,271,100100047,935167
2,272,100100048,926883
3,130,100100018,872505
4,152,100100031,870101
5,273,100100049,820414
6,147,100100026,819359
7,420,100100068,731474
8,421,100100409,699464
9,120,100100017,692834
10,262,100100044,689083
11,202,100100039,679433
12,144,100100023,662981
13,370,100100061,649832
14,261,100100043,647987
15,720,100100111,639105
16,303,100100053,634568
17,721,100100112,625571
18,260,100100042,620023
19,141,100100020,569797
20,145,100100024,563093
21,1224,100100181,521214
22,270,100100046,513063
23,101,100100006,501417
24,148,100100027,499929
25,2211,100100194,483199
26,241,100100595,465673
27,2015,100100190,459155
28,7211,100100344,439226
29,121,100100583,411858
30,103,100100008,394396
31,173,110000002,386028
32,2230,100100203,378169
33,3220,100100218,360968
34,3216,100100215,355509
35,105,100100010,348937
36,1213,100100175,314660
37,1111,100100132,314251
38,2233,100100204,313020
39,201,100100038,311194
40,2112,100100191,306783
41,2311,100100599,298334
42,1218,100100177,281295
43,2221,100100198,281219
44,2416,104000010,265019
45,1122,100100425,219556
46,2222,100100199,210177
47,4425,100100609,206949
48,동대문01,105900003,200791
49,2013,100100188,191566
50,1112,107000007,177464
51,111,104000009,172252
52,1227,100100184,168392
53,2236,111000019,164085
54,1222,100100179,149932
55,성북04,107900005,141535
56,1017,100100130,140573
57,동대문05,105900001,122317
58,동대문03,105900006,104266
59,성북20,105900004,99491
60,N15,100100610,82116
61,동대문02,105900002,74404
62,N13,100100593,65776
63,성북21,105900005,56332
64,N26,100100586,51938
65,9408,100100392,46804
66,N72,111000017,42972
67,N51,117000002,40339
68,N30,100100591,26505
69,8221,106000001,21156
70,1226,100100183,10675
71,중랑01,106900001,4821
