ars_id,busRouteId,rtNm
06001,100100018,130
06001,100100053,303
06001,100100061,370
06001,100100112,721
06001,234000309,9301광주
06001,100100591,N30
06002,100100018,130
06002,100100053,303
06002,100100061,370
06002,100100112,721
06002,100100198,2221
06002,100100215,3216
06002,100100218,3220
06002,234000309,9301광주
06002,100100591,N30
06003,100100018,130
06003,100100053,303
06003,100100061,370
06003,100100112,721
06003,100100198,2221
06003,100100215,3216
06003,100100218,3220
06003,234000309,9301광주
06003,100100591,N30
06006,100100413,6002
06006,100100053,303
06006,100100061,370
06006,100100112,721
06006,100100191,2112
06006,234000309,9301광주
06006,100100591,N30
06007,100100413,6002
06007,100100053,303
06007,100100061,370
06007,100100112,721
06007,100100191,2112
06007,234000309,9301광주
06007,100100591,N30
06008,100100413,6002
06008,100100053,303
06008,100100061,370
06008,100100112,721
06008,100100191,2112
06008,100100198,2221
06008,234000309,9301광주
06008,100100591,N30
06009,100100010,105
06009,100100038,201
06009,100100039,202
06009,100100595,241
06009,100100042,260
06009,100100046,270
06009,100100047,271
06009,100100048,272
06009,100100175,1213
06009,100100181,1224
06009,100100184,1227
06009,100100598,2115
06009,239000110,1330-2가평
06009,239000135,1330-3가평
06009,239000024,1330-44가평
06009,239000111,1330-4가평
06009,222000028,165남양주
06009,222000048,166-1남양주
06009,222000004,202남양주
06009,234000003,30광주
06009,222000050,51남양주
06009,222000031,65남양주
06009,222000002,707남양주
06009,239000104,8005가평
06009,100100586,N26
06010,100100010,105
06010,100100038,201
06010,100100039,202
06010,100100595,241
06010,100100042,260
06010,100100046,270
06010,100100047,271
06010,100100048,272
06010,100100175,1213
06010,100100181,1224
06010,100100184,1227
06010,100100598,2115
06010,239000110,1330-2가평
06010,239000135,1330-3가평
06010,239000024,1330-44가평
06010,239000111,1330-4가평
06010,222000028,165남양주
06010,222000048,166-1남양주
06010,222000004,202남양주
06010,234000003,30광주
06010,236000149,3200포천
06010,222000050,51남양주
06010,222000031,65남양주
06010,222000002,707남양주
06010,239000104,8005가평
06010,100100586,N26
06011,100100010,105
06011,100100038,201
06011,100100039,202
06011,100100595,241
06011,100100042,260
06011,100100046,270
06011,100100047,271
06011,100100048,272
06011,100100175,1213
06011,100100181,1224
06011,100100184,1227
06011,100100598,2115
06011,239000110,1330-2가평
06011,239000135,1330-3가평
06011,239000024,1330-44가평
