route_id,route_short_name,route_long_name,route_type
100000025,동대문A01,동대문A01,3
100100006,101,101,3
100100008,103,103,3
100100010,105,105,3
100100015,110B국민대,110B국민대,3
100100016,110A고려대,110A고려대,3
100100017,120,120,3
100100018,130,130,3
100100020,141,141,3
100100023,144,144,3
100100024,145,145,3
100100026,147,147,3
100100027,148,148,3
100100031,152,152,3
100100038,201,201,3
100100039,202,202,3
100100042,260,260,3
100100043,261,261,3
100100044,262,262,3
100100046,270,270,3
100100047,271,271,3
100100048,272,272,3
100100049,273,273,3
100100053,303,303,3
100100061,370,370,3
100100068,420,420,3
100100111,720,720,3
100100112,721,721,3
100100130,1017,1017,3
100100132,1111,1111,3
100100175,1213,1213,3
100100177,1218,1218,3
100100179,1222,1222,3
100100181,1224,1224,3
100100183,1226,1226,3
100100184,1227,1227,3
100100188,2013,2013,3
100100190,2015,2015,3
100100191,2112,2112,3
100100194,2211,2211,3
100100198,2221,2221,3
100100199,2222,2222,3
100100203,2230,2230,3
100100204,2233,2233,3
100100215,3216,3216,3
100100218,3220,3220,3
100100344,7211,7211,3
100100392,9408,9408,3
100100409,421,421,3
100100413,6002,6002,3
100100420,6013,6013,3
100100425,1122,1122,3
100100583,121,121,3
100100586,N26,N26,3
100100591,N30,N30,3
100100593,N13,N13,3
100100595,241,241,3
100100598,2115,2115,3
100100599,2311,2311,3
100100609,4425,4425,3
100100610,N15,N15,3
101000009,새벽A148,새벽A148,3
104000009,111,111,3
104000010,2416,2416,3
105900001,동대문05,동대문05,3
105900002,동대문02,동대문02,3
105900003,동대문01,동대문01,3
105900004,성북20,성북20,3
105900005,성북21,성북21,3
105900006,동대문03,동대문03,3
106000001,8221,8221,3
106900001,중랑01,중랑01,3
107000007,1112,1112,3
107900005,성북04,성북04,3
110000002,173,173,3
111000017,N72,N72,3
111000019,2236,2236,3
115000009,N6002,N6002,3
117000002,N51,N51,3
122000012,6100-1,6100-1,3
204000007,357성남,357성남,3
204000067,341성남,341성남,3
222000002,707남양주,707남양주,3
222000004,202남양주,202남양주,3
222000028,165남양주,165남양주,3
222000031,65남양주,65남양주,3
222000048,166-1남양주,166-1남양주,3
222000050,51남양주,51남양주,3
234000003,30광주,30광주,3
234000309,9301광주,9301광주,3
236000149,3200포천,3200포천,3
239000024,1330-44가평,1330-44가평,3
239000104,8005가평,8005가평,3
239000110,1330-2가평,1330-2가평,3
239000111,1330-4가평,1330-4가평,3
239000135,1330-3가평,1330-3가평,3
